CSID,CaseMasterID,csdate,cstype,PolicePersonID
631,2112,2025-10-15T00:00:00,A,1042
632,2113,2023-11-06T00:00:00,C,287
633,2119,2023-12-21T00:00:00,A,100
634,2132,2025-07-19T00:00:00,A,1523
635,2141,2024-03-09T00:00:00,A,2367
636,2142,2024-05-23T00:00:00,A,653
637,2145,2026-07-06T00:00:00,A,328
638,2149,2024-11-30T00:00:00,B,1518
639,2150,2026-07-18T00:00:00,C,1984
640,2152,2025-05-31T00:00:00,A,667
641,2164,2026-08-02T00:00:00,B,2442
642,2168,2026-02-17T00:00:00,A,2011
643,2169,2026-03-03T00:00:00,A,28
644,2170,2025-09-15T00:00:00,C,1720
645,2173,2024-11-21T00:00:00,A,1569
646,2175,2023-09-22T00:00:00,A,62
647,2176,2023-06-04T00:00:00,A,2132
648,2178,2025-02-20T00:00:00,A,296
649,2180,2023-12-01T00:00:00,C,1536
650,2181,2025-05-30T00:00:00,A,2115
651,2187,2025-09-12T00:00:00,A,523
652,2191,2025-03-18T00:00:00,A,1664
653,2196,2026-03-20T00:00:00,A,1757
654,2197,2026-10-15T00:00:00,A,405
655,2199,2024-12-24T00:00:00,A,2407
656,2204,2023-11-07T00:00:00,A,1419
657,2208,2024-01-20T00:00:00,C,1786
658,2209,2024-04-18T00:00:00,A,1939
659,2211,2025-08-27T00:00:00,B,835
660,2214,2023-11-19T00:00:00,A,1752
661,2217,2025-12-07T00:00:00,A,2161
662,2218,2023-11-11T00:00:00,A,920
663,2220,2024-04-06T00:00:00,A,564
664,2224,2026-05-26T00:00:00,A,713
665,2225,2023-11-11T00:00:00,A,1571
666,2226,2026-04-15T00:00:00,A,304
667,2227,2026-05-01T00:00:00,A,824
668,2228,2024-01-26T00:00:00,A,2349
669,2230,2024-07-14T00:00:00,A,673
670,2232,2024-12-29T00:00:00,A,733
671,2237,2024-09-05T00:00:00,B,1493
672,2243,2024-06-18T00:00:00,B,320
673,2245,2026-08-07T00:00:00,B,1956
674,2246,2023-08-17T00:00:00,A,1146
675,2248,2025-09-01T00:00:00,A,1396
676,2250,2023-11-24T00:00:00,A,1942
677,2253,2023-07-15T00:00:00,A,1548
678,2254,2024-11-07T00:00:00,A,367
679,2256,2025-10-08T00:00:00,A,1089
680,2262,2026-02-28T00:00:00,A,803
681,2263,2023-11-06T00:00:00,A,2292
682,2268,2025-05-03T00:00:00,A,1753
683,2279,2025-02-13T00:00:00,A,2141
684,2285,2026-03-15T00:00:00,A,1676
685,2287,2025-09-03T00:00:00,A,1434
686,2292,2026-04-11T00:00:00,B,2043
687,2298,2024-06-06T00:00:00,A,1875
688,2301,2026-03-25T00:00:00,A,281
689,2305,2026-08-22T00:00:00,B,547
690,2315,2025-04-10T00:00:00,A,1919
691,2316,2026-05-18T00:00:00,C,2365
692,2318,2026-02-18T00:00:00,A,2326
693,2321,2025-08-29T00:00:00,A,196
694,2322,2024-01-15T00:00:00,A,556
695,2324,2026-03-06T00:00:00,A,88
696,2331,2023-05-08T00:00:00,A,2396
697,2332,2026-07-10T00:00:00,A,1105
698,2333,2026-03-17T00:00:00,A,1654
699,2334,2025-02-17T00:00:00,A,338
700,2335,2024-12-02T00:00:00,B,1619
701,2337,2024-10-17T00:00:00,A,23
702,2339,2025-10-11T00:00:00,A,1853
703,2342,2025-06-17T00:00:00,A,213
704,2343,2026-05-21T00:00:00,A,1580
705,2346,2024-07-16T00:00:00,A,127
706,2348,2024-12-16T00:00:00,B,1406
707,2355,2023-03-14T00:00:00,B,2029
708,2357,2025-04-24T00:00:00,B,2330
709,2360,2023-05-16T00:00:00,A,190
710,2361,2026-06-08T00:00:00,A,443
711,2362,2025-10-03T00:00:00,A,2105
712,2364,2025-12-10T00:00:00,A,1713
713,2369,2025-11-08T00:00:00,B,1879
714,2371,2026-04-06T00:00:00,B,27
715,2375,2024-03-22T00:00:00,C,2484
716,2378,2023-03-10T00:00:00,A,633
717,2385,2024-08-27T00:00:00,A,1924
718,2391,2025-01-17T00:00:00,A,180
719,2393,2024-07-20T00:00:00,A,1279
720,2400,2024-02-13T00:00:00,A,1464
721,2401,2025-09-11T00:00:00,A,2272
722,2402,2025-03-05T00:00:00,A,474
723,2404,2023-05-31T00:00:00,A,2145
724,2406,2023-08-21T00:00:00,A,1454
725,2410,2024-07-06T00:00:00,A,2248
726,2414,2026-06-28T00:00:00,A,1826
727,2417,2024-04-25T00:00:00,B,421
728,2418,2024-08-02T00:00:00,C,542
729,2419,2025-06-04T00:00:00,A,2041
730,2436,2026-04-29T00:00:00,A,1909
731,2444,2023-12-09T00:00:00,B,444
732,2446,2024-09-10T00:00:00,A,1251
733,2448,2026-02-27T00:00:00,A,2337
734,2453,2023-05-24T00:00:00,A,1599
735,2454,2026-05-27T00:00:00,B,1967
736,2457,2024-11-13T00:00:00,A,1645
737,2458,2026-01-24T00:00:00,A,1868
738,2459,2026-03-07T00:00:00,C,2184
739,2461,2025-12-24T00:00:00,A,2425
740,2465,2024-07-22T00:00:00,A,1763
741,2467,2023-07-31T00:00:00,A,2311
742,2469,2024-08-24T00:00:00,A,1472
743,2473,2025-08-23T00:00:00,A,145
744,2474,2025-12-07T00:00:00,B,1345
745,2478,2023-12-18T00:00:00,B,565
746,2485,2026-07-21T00:00:00,B,1693
747,2486,2024-09-28T00:00:00,B,602
748,2487,2024-05-20T00:00:00,A,1558
749,2489,2024-02-07T00:00:00,A,1564
750,2490,2025-01-14T00:00:00,A,997
751,2497,2025-05-20T00:00:00,A,2333
752,2498,2024-08-15T00:00:00,A,546
753,2500,2023-09-25T00:00:00,C,542
754,2503,2023-09-26T00:00:00,A,937
755,2505,2024-07-12T00:00:00,B,2481
756,2510,2026-03-09T00:00:00,B,1463
757,2511,2025-11-16T00:00:00,A,2089
758,2517,2026-09-20T00:00:00,A,717
759,2524,2023-12-03T00:00:00,A,1548
760,2526,2026-04-04T00:00:00,A,1317
761,2529,2026-01-01T00:00:00,C,1934
762,2531,2025-06-13T00:00:00,B,334
763,2532,2023-03-21T00:00:00,A,75
764,2533,2025-06-02T00:00:00,A,2484
765,2539,2024-05-11T00:00:00,A,747
766,2545,2023-12-18T00:00:00,A,261
767,2550,2024-03-24T00:00:00,A,1285
768,2551,2024-02-25T00:00:00,C,474
769,2556,2023-12-04T00:00:00,A,867
770,2557,2025-02-10T00:00:00,A,372
771,2560,2024-07-12T00:00:00,A,2326
772,2564,2026-04-14T00:00:00,A,589
773,2566,2023-09-16T00:00:00,A,212
774,2567,2024-01-14T00:00:00,A,664
775,2568,2023-10-02T00:00:00,A,2144
776,2572,2025-08-03T00:00:00,A,1214
777,2575,2023-08-06T00:00:00,A,596
778,2581,2023-05-21T00:00:00,A,1468
779,2583,2024-12-19T00:00:00,A,953
780,2584,2023-06-15T00:00:00,A,2166
781,2585,2024-08-15T00:00:00,B,577
782,2589,2026-02-05T00:00:00,A,2292
783,2590,2024-01-04T00:00:00,A,2109
784,2593,2025-01-10T00:00:00,B,692
785,2595,2025-03-30T00:00:00,A,2028
786,2596,2026-05-22T00:00:00,A,1667
787,2601,2023-07-15T00:00:00,A,1467
788,2612,2024-11-06T00:00:00,A,9
789,2616,2025-07-30T00:00:00,B,604
790,2618,2026-06-06T00:00:00,A,979
791,2620,2025-12-06T00:00:00,A,1532
792,2625,2024-03-14T00:00:00,A,1621
793,2630,2023-09-11T00:00:00,A,1912
794,2634,2025-06-04T00:00:00,A,2171
795,2639,2024-05-16T00:00:00,A,1410
796,2640,2025-06-21T00:00:00,B,1148
797,2642,2025-11-28T00:00:00,B,1152
798,2649,2025-03-04T00:00:00,C,1442
799,2652,2024-08-27T00:00:00,A,2045
800,2655,2026-05-12T00:00:00,A,2105
801,2656,2023-05-07T00:00:00,B,636
802,2659,2025-04-30T00:00:00,A,409
803,2662,2025-11-10T00:00:00,A,606
804,2663,2024-07-03T00:00:00,A,2078
805,2669,2026-01-16T00:00:00,B,850
806,2677,2025-10-29T00:00:00,A,39
807,2681,2023-05-18T00:00:00,C,1608
808,2682,2023-06-14T00:00:00,A,328
809,2684,2024-07-21T00:00:00,A,1387
810,2685,2026-09-08T00:00:00,A,1801
811,2687,2025-01-31T00:00:00,A,927
812,2692,2025-04-12T00:00:00,B,1498
813,2700,2026-08-25T00:00:00,B,173
814,2702,2026-02-22T00:00:00,A,349
815,2706,2023-02-23T00:00:00,A,1376
816,2714,2024-07-22T00:00:00,A,1376
817,2715,2024-11-07T00:00:00,A,1567
818,2716,2023-05-02T00:00:00,B,1457
819,2721,2025-02-20T00:00:00,A,2313
820,2725,2025-09-30T00:00:00,A,2456
821,2736,2023-12-20T00:00:00,A,2216
822,2737,2026-08-31T00:00:00,A,1078
823,2738,2025-07-20T00:00:00,A,508
824,2739,2026-08-16T00:00:00,B,2027
825,2743,2024-12-09T00:00:00,B,1139
826,2744,2026-04-04T00:00:00,B,921
827,2746,2023-10-11T00:00:00,B,991
828,2748,2025-05-09T00:00:00,A,520
829,2754,2023-11-11T00:00:00,A,2175
830,2766,2024-12-30T00:00:00,A,2493
831,2768,2023-12-19T00:00:00,B,410
832,2769,2025-12-29T00:00:00,A,2016
833,2773,2025-12-08T00:00:00,A,1752
834,2776,2023-07-26T00:00:00,A,655
835,2780,2025-04-14T00:00:00,A,2296
836,2781,2023-12-18T00:00:00,B,782
837,2783,2025-06-03T00:00:00,C,180
838,2784,2024-03-28T00:00:00,B,2204
839,2786,2023-04-17T00:00:00,A,945
840,2788,2024-12-30T00:00:00,C,1352
841,2789,2023-12-15T00:00:00,A,1326
842,2797,2023-10-17T00:00:00,A,1988
843,2803,2023-10-25T00:00:00,A,2036
844,2804,2026-06-24T00:00:00,A,1292
845,2807,2025-12-16T00:00:00,B,1940
846,2810,2025-12-14T00:00:00,A,351
847,2811,2024-09-17T00:00:00,A,2392
848,2813,2026-07-18T00:00:00,B,1101
849,2815,2023-02-25T00:00:00,A,1065
850,2818,2025-05-07T00:00:00,A,52
851,2829,2024-12-30T00:00:00,A,295
852,2830,2023-12-08T00:00:00,A,2087
853,2833,2025-01-18T00:00:00,A,1391
854,2834,2023-09-02T00:00:00,A,2279
855,2842,2023-03-20T00:00:00,B,376
856,2845,2025-12-22T00:00:00,A,572
857,2846,2024-11-04T00:00:00,B,2018
858,2848,2025-02-26T00:00:00,A,2321
859,2851,2024-07-18T00:00:00,A,779
860,2853,2025-01-13T00:00:00,A,727
861,2864,2023-03-10T00:00:00,A,1350
862,2866,2025-11-05T00:00:00,A,1926
863,2868,2024-04-21T00:00:00,A,965
864,2876,2023-12-21T00:00:00,B,1007
865,2877,2026-02-11T00:00:00,A,933
866,2882,2023-09-04T00:00:00,B,1187
867,2884,2024-02-08T00:00:00,A,726
868,2888,2024-05-31T00:00:00,A,413
869,2889,2025-05-31T00:00:00,A,1137
870,2890,2023-07-04T00:00:00,C,756
871,2891,2025-09-23T00:00:00,B,497
872,2893,2024-11-19T00:00:00,A,334
873,2894,2026-06-06T00:00:00,A,443
874,2897,2025-02-03T00:00:00,A,906
875,2900,2025-02-19T00:00:00,C,500
876,2914,2023-07-13T00:00:00,A,2470
877,2915,2025-10-07T00:00:00,A,2339
878,2919,2024-02-20T00:00:00,C,1697
879,2921,2024-07-23T00:00:00,A,1957
880,2922,2026-09-13T00:00:00,B,860
881,2924,2026-02-17T00:00:00,A,1284
882,2927,2024-02-03T00:00:00,A,2373
883,2928,2024-09-21T00:00:00,A,1319
884,2932,2026-03-22T00:00:00,B,1647
885,2935,2024-11-28T00:00:00,A,2081
886,2946,2025-01-09T00:00:00,A,1708
887,2953,2025-10-12T00:00:00,A,718
888,2955,2023-09-22T00:00:00,B,1757
889,2960,2025-03-23T00:00:00,A,2275
890,2965,2023-10-26T00:00:00,A,2417
891,2967,2026-05-10T00:00:00,B,1581
892,2980,2026-09-17T00:00:00,A,586
893,2983,2026-01-25T00:00:00,A,662
894,2984,2025-10-13T00:00:00,A,1358
895,2988,2025-10-07T00:00:00,A,547
896,2990,2023-09-05T00:00:00,C,365
897,2991,2024-06-11T00:00:00,A,2119
898,2993,2024-05-31T00:00:00,A,1683
899,2995,2025-09-01T00:00:00,A,1495
900,2996,2024-08-05T00:00:00,A,575
901,2998,2025-01-29T00:00:00,A,43
902,3000,2025-11-25T00:00:00,A,1412
